类型,名称,出处,片段
关系,rhTPO | improves | coagulation_function,paper_712_39901742,位置: Conclusion / chunk 9 | 证据: This study demonstrated that rhTPO treatment can significantly improve coagulation function and inflammatory status
关系,rhTPO | lowers | mortality,paper_712_39901742,"位置: Conclusion / chunk 9 | 证据: increase Plt count, reduce blood transfusion requirements, and lower mortality in patients with sepsis-associated thrombocytopenia"
概念,adverse_event_risk_in_pulmonary_infection,paper_712_39901742,位置: Discussion / chunk 7 | 证据: In patients with severe sepsis complicated by ARDS... rhTPO treatment... may exacerbate Plt aggregation in the lungs... increasing the risk of microthrombus formation
概念,Pulmonary rehabilitation (PR),paper_926_39906676,"位置: 前言 / chunk 0 | 证据: Pulmonary rehabilitation (PR) is a multi-disciplinary, evidence-based intervention that includes supervised exercise training and self-management education to increase physical activity for adults with chronic respiratory disease (COPD)."
概念,Chronic obstructive pulmonary disease (COPD),paper_926_39906676,位置: 前言 / chunk 0 | 证据: ...for adults with chronic respiratory disease (COPD).
关系,Pulmonary rehabilitation | improves | dyspnea,paper_926_39906676,"位置: 前言 / chunk 0 | 证据: Participation in PR improves dyspnea, health-related quality of life, and exercise capacity."
概念,Telehealth PR,paper_926_39906676,"位置: 前言 / chunk 0 | 证据: ...telehealth PR programs to improve access to PR services, and deliver PR services directly to patients’ homes."
概念,Virtual pulmonary rehabilitation (V-PR),paper_926_39906676,"位置: Discussion / chunk 6 | 证据: ...evaluate the feasibility and usability of a digital, remote therapeutic monitoring platform for virtual pulmonary rehabilitation."
概念,Center-based pulmonary rehabilitation (C-PR),paper_926_39906676,位置: Discussion / chunk 6 | 证据: ...measurements comparing V-PR vs C-PR.
概念,6-minute walk test (6MWT),paper_926_39906676,"位置: Discussion / chunk 6 | 证据: ...assessed changes in the 6MWT distance, functional performance tests, and health-related quality of life (HRQOL)..."
关系,V-PR+RTM Platform | is | feasible and usable,paper_926_39906676,"位置: Discussion / chunk 6 | 证据: We found the VPR+RTM Platform is feasible and usable in supporting virtual, remote, asynchronous PR..."
概念,Minimal clinically important difference (MCID),paper_926_39906676,位置: Discussion / chunk 6 | 证据: ...the average change in 6MWT distance... exceeded the MCID in both groups...
关系,V-PR group | mean_change_in_6MWD | 32.3 meters,paper_926_39906676,位置: Discussion / chunk 6 | 证据: The V-PR group’s mean change in 6MWD was 32.3 meters (SD 50.8)...
关系,V-PR group | mean_change_in_SGRQ | -9.1 points,paper_926_39906676,位置: Discussion / chunk 7 | 证据: ...and V-PR (−9.1 pts) exceeded the SGRQ MCID of −4 points.
关系,C-PR group | mean_change_in_SGRQ | -7.0 points,paper_926_39906676,位置: Discussion / chunk 6 | 证据: The mean improvement in the SGRQ for C-PR (−7.0 points) and V-PR (−9.1 pts) exceeded the SGRQ MCID...
关系,V-PR | no_significant_difference | C-PR,paper_926_39906676,位置: Discussion / chunk 6 | 证据: ...there was no significant difference between the two groups... no significant between-group differences were observed across these outcomes.
概念,St. George's Respiratory Questionnaire (SGRQ),paper_926_39906676,位置: Discussion / chunk 6 | 证据: ...we observed significant within-group improvements in both groups in the SGRQ...
概念,COPD Assessment Test (CAT),paper_926_39906676,"位置: Discussion / chunk 6 | 证据: ...we observed significant within-group improvements in both groups in the SGRQ, CAT, LINQ, and NIH PROMIS (physical)..."
关系,V-PR+RTM Platform | usability_score | 84.4,paper_926_39906676,位置: Discussion / chunk 6 | 证据: ...higher than average at post-test (SUS score = 84.4)...
概念,慢性丙型肝炎病毒 (HCV) 感染,paper_270_39877380,位置: 前言 / chunk 0 / page 2 | 证据: Chronic hepatitis C virus (HCV) infection has historically been a prominent contributor to developing hepatocellular carcinoma (HCC) and liver-related mortality
概念,直接作用抗病毒药物 (DAAs),paper_270_39877380,位置: 前言 / chunk 0 / page 2 | 证据: the landscape of antiviral therapy for HCV has shifted to introduce direct-acting antivirals (DAAs) to China.
概念,持续病毒学应答 (SVR),paper_270_39877380,"位置: 前言 / chunk 0 / page 2 | 证据: DAAs’ advent has significantly transformed the management of HCV infection, yielding a notable sustained virologic response (SVR)"
概念,肝细胞癌 (HCC),paper_270_39877380,位置: 前言 / chunk 0 / page 2 | 证据: Chronic hepatitis C virus (HCV) infection has historically been a prominent contributor to developing hepatocellular carcinoma (HCC)
概念,肝硬化,paper_270_39877380,位置: Discussion / chunk 8 / pages 12-15 | 证据: patients in the cirrhosis group showed reductions in APRI score
概念,糖尿病,paper_270_39877380,"位置: 前言 / chunk 0 / page 2 | 证据: patients with diabetes faced an elevated risk of HCC (aHR 2.33, 95% CI 1.13–6.55; p = 0.026)"
概念,肝硬度测量 (LSM),paper_270_39877380,"位置: 前言 / chunk 0 / page 2 | 证据: Changes in liver stiffness measurement (LSM), fibrosis-4 (FIB-4) index, as well as the albumin-bilirubin (ALBI) score were investigated."
概念,APRI 评分,paper_270_39877380,位置: Discussion / chunk 8 / pages 12-15 | 证据: patients in the cirrhosis group showed reductions in APRI score
概念,FIB-4 指数,paper_270_39877380,"位置: 前言 / chunk 0 / page 2 | 证据: Changes in liver stiffness measurement (LSM), fibrosis-4 (FIB-4) index, as well as the albumin-bilirubin (ALBI) score were investigated."
概念,ALBI 评分,paper_270_39877380,"位置: 前言 / chunk 0 / page 2 | 证据: Changes in liver stiffness measurement (LSM), fibrosis-4 (FIB-4) index, as well as the albumin-bilirubin (ALBI) score were investigated."
关系,慢性丙型肝炎病毒 (HCV) 感染 | 增加风险 | 肝细胞癌 (HCC),paper_270_39877380,位置: 前言 / chunk 0 / page 2 | 证据: Chronic hepatitis C virus (HCV) infection has historically been a prominent contributor to developing hepatocellular carcinoma (HCC)
关系,直接作用抗病毒药物 (DAAs) | 实现 | 持续病毒学应答 (SVR),paper_270_39877380,"位置: 前言 / chunk 0 / page 2 | 证据: DAAs’ advent has significantly transformed the management of HCV infection, yielding a notable sustained virologic response (SVR)"
关系,肝硬化 | 增加风险 | 病毒学复发,paper_270_39877380,"位置: 前言 / chunk 0 / page 2 | 证据: patients with cirrhosis were at a heightened risk of virological relapse (adjusted hazard ratio [aHR] 6.93, 95% CI 2.66–16.28; p < 0.0001)"
关系,糖尿病 | 增加风险 | 肝细胞癌 (HCC),paper_270_39877380,"位置: 前言 / chunk 0 / page 2 | 证据: patients with diabetes faced an elevated risk of HCC (aHR 2.33, 95% CI 1.13–6.55; p = 0.026)"
关系,持续病毒学应答 (SVR) | 降低 | 肝相关死亡率,paper_270_39877380,位置: Discussion / chunk 9 / pages 12-15 | 证据: Achieving SVR has been demonstrated to be correlated to a decreased risk of liver-related mortality and overall mortality rates.
关系,直接作用抗病毒药物 (DAAs) 治疗 | 减少 | 肝硬度测量 (LSM),paper_270_39877380,"位置: Discussion / chunk 10 / pages 12-15 | 证据: In our extended surveillance, we noted a substantial decrease in LSM at EOT and at 1-year to 5-year follow-up in all patients."
关系,肝硬化 | 增加风险 | 不良预后,paper_270_39877380,"位置: 前言 / chunk 0 / page 2 | 证据: patients with cirrhosis were at a heightened risk of ... unfavorable prognosis (aHR 2.72, 95% CI 1.13–6.55; p = 0.026)"
关系,酒精滥用 | 增加风险 | 肝细胞癌 (HCC),paper_270_39877380,位置: Discussion / chunk 9 / pages 12-15 | 证据: alcohol abuse emerged as another potential risk factor for HCC.
关系,持续病毒学应答 (SVR) | 不消除 | 肝病进展风险,paper_270_39877380,"位置: Conclusion / chunk 11 / page 16 | 证据: Despite achieving SVR, there remains a persistent risk of liver disease progression and liver-related complications even after the successful post-treatment."
关系,肝硬化患者 | 需要 | 严格监测,paper_270_39877380,位置: Conclusion / chunk 11 / page 16 | 证据: it is imperative to implement a rigorous surveillance protocol for all cirrhotic patients.
概念,NSAID hypersensitivity,paper_596_39881781,位置: 前言 / chunk 0 | 证据: NSAIDs have also been identified as the second most common cause of hypersensitivity reactions.
概念,NSAID-induced urticaria/angioedema (NIUA),paper_596_39881781,位置: Discussion / chunk 4 | 证据: The type of NSAIDs hypersensitivity reaction in the four patients was NSAIDs-induced urticaria/angioedema (NIUA).
概念,Ketorolac,paper_596_39881781,"位置: Discussion / chunk 5 | 证据: In this case series, it was found that ketorolac is the NSAIDs that causes the most NSAIDs hypersensitivity."
概念,Diclofenac sodium,paper_596_39881781,位置: Discussion / chunk 5 | 证据: Previous case studies showed that the incidence of diclofenac sodium hypersensitivity was 19.4%.
概念,Ketoprofen,paper_596_39881781,"位置: Discussion / chunk 5 | 证据: NSAIDs drugs that can cause hypersensitivity events include diclofenac sodium, ketoprofen and ketorolac."
概念,Etoricoxib,paper_596_39881781,"位置: Discussion / chunk 6 | 证据: Etoricoxib, a potent and specific COX-2 inhibitor, is considered a safe option as long as the NIUA reaction is affected by COX-1 inhibition."
概念,Paracetamol (Acetaminophen),paper_596_39881781,"位置: Discussion / chunk 6 | 证据: The patient group experienced very little reaction from acetaminophen (paracetamol), probably because this drug minimally inhibits COX-1."
概念,Naranjo algorithm,paper_596_39881781,"位置: Discussion / chunk 5 | 证据: In this study, the causality test used the Naranjo algorithm with the results in the four case studies being 'probable'."
概念,Drug Provocation Test (DPT),paper_596_39881781,位置: Discussion / chunk 5 | 证据: The DPT test is a test that can be used to accurately identify in patients the presence of allergies to drugs.
概念,Corticosteroids and antihistamines,paper_596_39881781,"位置: Discussion / chunk 5 | 证据: In all four-case series, the management of NSAIDs hypersensitivity was to use corticosteroid therapy in the form of dexamethasone and antihistamine, in the form of diphenhydramine."
关系,NSAID hypersensitivity | associated_with | NIUA,paper_596_39881781,位置: Discussion / chunk 4 | 证据: The type of NSAIDs hypersensitivity reaction in the four patients was NSAIDs-induced urticaria/angioedema (NIUA).
关系,Ketorolac | causes | NSAID hypersensitivity,paper_596_39881781,"位置: Discussion / chunk 5 | 证据: In this case series, it was found that ketorolac is the NSAIDs that causes the most NSAIDs hypersensitivity."
关系,Obesity | increases_risk_of | drug hypersensitivity,paper_596_39881781,位置: Discussion / chunk 4 | 证据: Obesity has been associated with an increased risk of drug hypersensitivity due to its role in systemic inflammation.
关系,COX-1 inhibition | mechanism_of | NSAID hypersensitivity,paper_596_39881781,"位置: Discussion / chunk 4 | 证据: One mechanism is COX-1 inhibition, which leads to activation of mast cells and eosinophils, along with the release of inflammatory mediators."
关系,Etoricoxib | safe_alternative_for | NSAID hypersensitivity,paper_596_39881781,位置: Discussion / chunk 6 | 证据: Another study involving 74 people with a history of NSAIDs allergy showed that etoricoxib is a safe alternative to NSAIDs.
关系,Paracetamol | safe_alternative_for | NSAID hypersensitivity,paper_596_39881781,位置: Discussion / chunk 6 | 证据: Studies suggest the use of acetaminophen for patients sensitive to NSAIDs.
关系,NSAID hypersensitivity | management_includes | drug discontinuation and replacement,paper_596_39881781,位置: Discussion / chunk 5 | 证据: Management of hypersensitive NSAIDs discontinuation and replacement with another NSAIDs is key in the management of NSAID hypersensitivity.
关系,NSAID hypersensitivity | symptom_onset | within 30 minutes,paper_596_39881781,"位置: Conclusion / chunk 8 | 证据: The main symptoms were angioedema and urticaria, which appeared within 30 minutes of NSAIDs administration."
关系,"Risk population for NSAID hypersensitivity | includes | patients with history of asthma, chronic urticaria",paper_596_39881781,"位置: Conclusion / chunk 8 | 证据: Therefore, caution is needed when administering NSAIDs to risk populations such as patients with a history of hypersensitivity, asthma, and chronic urticaria."
概念,Dithiocarbazate (DTC),paper_820_39861748,位置: 前言 / chunk 0 | 证据: Dithiocarbazate (DTC) and thiosemicarbazone (TSC) molecules have nitrogen and sulfur in their structure
概念,"S-benzyl-5-hydroxy-3-methyl-5-phenyl-4,5-dihydro-1H-pyrazole-1-carbodithionate (H2bdtc)",paper_820_39861748,"位置: 前言 / chunk 1 | 证据: S-benzyl-5-hydroxy-3-methyl-5-phenyl-4,5-dihydro-1H-pyrazole-1-carbodithionate (H2bdtc)"
